Brand,Model,Year,Milage,Transmission,Location,Color,Fuel,Price,Post Date
Ford || ﺩﺭﻮﻓ,Focus || ﺲﻛﻮﻓ,2013,199000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺔﻴﻣﺎﻄﻘﻟﺍ,ﻱﺰﻧﻭﺮﺑ,ﻦﻳﺰﻨﺑ,1100000,2025-04-19
Kia || ﺎﻴﻛ,Carens || ﺰﻨﻳﺭﺎﻛ,2012,139000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺮﻫﺎﻘﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,710000,2025-04-18
Nissan || ﻥﺎﺴﻴﻧ,Stanza || ﺍﺰﻧﺎﺘﺳ,2021,133000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺮﻫﺎﻘﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,735000,2025-04-19
Seat || ﺕﺎﻴﺳ,Leon || ﻥﻮﻴﻟ,2011,280000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺔﻗﺩﺮﻐﻟﺍ,ﻖﻣﺎﻏ ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,520000,2025-04-18
Hyundai || ﻱﺍﺪﻧﻮﻴﻫ,Elantra HD || ﻯﺩ ﺶﺗﺍ ﺍﺮﺘﻨﻟﺇ,2022,64000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻡﺍﺮﻫﻻﺍ ﻖﺋﺍﺪﺣ,ﻕﺭﺯﺃ,ﻦﻳﺰﻨﺑ,780000,2025-04-19
BMW || ﻮﻴﻠﺑﺩ ﻡﺍ ﻲﺑ,X3,2007,204939,ﻝﺍﻮﻴﻧﺎﻣ,ﺓﺮﻫﺎﻘﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,1100000,2025-04-18
Hyundai || ﻱﺍﺪﻧﻮﻴﻫ,Elantra HD || ﻯﺩ ﺶﺗﺍ ﺍﺮﺘﻨﻟﺇ,2019,350000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺰﻴﺠﻟﺍ,ﻲﻧﺍﺮﻴﻓ,ﻦﻳﺰﻨﺑ,665000,2025-04-18
Chevrolet || ﻪﻴﻟﻭﺮﻔﻴﺷ,N-Series || ﻥ ﺔﺌﻔﻟﺍ ﻮﺒﻣﺎﺟ,2024,7000,ﻝﺍﻮﻴﻧﺎﻣ,ﺮﺑﻮﺘﻛﺃ 6,ﺾﻴﺑﺃ,ﻦﻳﺰﻨﺑ,1850000,2025-04-18
Opel || ﻞﺑﻭﺍ,Corsa || ﺎﺳﺭﻮﻛ,2005,155000,ﻝﺍﻮﻴﻧﺎﻣ,ﺔﻳﺭﺪﻨﻜﺳﻹﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,210000,2025-04-18
MG || ﻰﺟ ﻡﺍ,6,2022,79100,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻰﺘﻨﻳﺪﻣ,ﺾﻴﺑﺃ,ﻦﻳﺰﻨﺑ,1000000,2025-04-18
